fold,run,ratio_A,ratio_B,dipdi
1,1,100-0,0-100,1.0896210670471191
2,1,100-0,0-100,1.4080002307891846
3,1,100-0,0-100,1.2637017965316772
4,1,100-0,0-100,1.9368679523468018
5,1,100-0,0-100,1.467958927154541
6,1,100-0,0-100,1.3354626893997192
7,1,100-0,0-100,1.7934191226959229
8,1,100-0,0-100,1.4023436307907104
9,1,100-0,0-100,1.3425109386444092
10,1,100-0,0-100,1.4310818910598755
1,1,75-25,25-75,-0.044704217463731766
2,1,75-25,25-75,0.2925608456134796
3,1,75-25,25-75,-0.08336590975522995
4,1,75-25,25-75,0.10101237893104553
5,1,75-25,25-75,0.16420121490955353
6,1,75-25,25-75,-0.03351442888379097
7,1,75-25,25-75,0.27827492356300354
8,1,75-25,25-75,0.05193162336945534
9,1,75-25,25-75,0.15923979878425598
10,1,75-25,25-75,-0.23708274960517883
1,1,50-50,50-50,-0.06982968002557755
2,1,50-50,50-50,0.3006177842617035
3,1,50-50,50-50,0.10842153429985046
4,1,50-50,50-50,0.018637068569660187
5,1,50-50,50-50,0.2809555232524872
6,1,50-50,50-50,-0.2234361618757248
7,1,50-50,50-50,-0.3930308222770691
8,1,50-50,50-50,0.13021698594093323
9,1,50-50,50-50,0.028617966920137405
10,1,50-50,50-50,-0.04113201051950455
1,1,25-75,75-25,0.07225028425455093
2,1,25-75,75-25,0.24092401564121246
3,1,25-75,75-25,0.12967786192893982
4,1,25-75,75-25,0.08720436692237854
5,1,25-75,75-25,0.021418457850813866
6,1,25-75,75-25,0.4203993082046509
7,1,25-75,75-25,0.38685524463653564
8,1,25-75,75-25,-0.08653419464826584
9,1,25-75,75-25,0.3023972511291504
10,1,25-75,75-25,0.20034584403038025
1,1,0-100,100-0,1.6062976121902466
2,1,0-100,100-0,1.7281979322433472
3,1,0-100,100-0,1.932155728340149
4,1,0-100,100-0,1.520387887954712
5,1,0-100,100-0,1.2823522090911865
6,1,0-100,100-0,1.5758320093154907
7,1,0-100,100-0,0.8846347332000732
8,1,0-100,100-0,1.423699975013733
9,1,0-100,100-0,1.440086007118225
10,1,0-100,100-0,1.6159844398498535
