fold,run,ratio_A,ratio_B,dipdi
1,1,100-0,0-100,0.6711695194244385
2,1,100-0,0-100,0.676024317741394
3,1,100-0,0-100,0.4532024562358856
4,1,100-0,0-100,0.47224563360214233
5,1,100-0,0-100,0.47910863161087036
6,1,100-0,0-100,0.7532808184623718
7,1,100-0,0-100,0.534893274307251
8,1,100-0,0-100,0.5454005599021912
9,1,100-0,0-100,0.644574761390686
10,1,100-0,0-100,0.530768632888794
1,1,75-25,25-75,0.012368053197860718
2,1,75-25,25-75,0.03475792333483696
3,1,75-25,25-75,0.04499388486146927
4,1,75-25,25-75,0.10578715801239014
5,1,75-25,25-75,-0.03845448046922684
6,1,75-25,25-75,0.05684824287891388
7,1,75-25,25-75,0.03923844173550606
8,1,75-25,25-75,0.01129871979355812
9,1,75-25,25-75,-0.013082170858979225
10,1,75-25,25-75,0.01804295741021633
1,1,50-50,50-50,-0.07985856384038925
2,1,50-50,50-50,0.04598294571042061
3,1,50-50,50-50,0.01744978316128254
4,1,50-50,50-50,-0.12695012986660004
5,1,50-50,50-50,-0.04872551187872887
6,1,50-50,50-50,-0.03569762036204338
7,1,50-50,50-50,0.07162284106016159
8,1,50-50,50-50,0.024460075423121452
9,1,50-50,50-50,0.027282876893877983
10,1,50-50,50-50,0.05374792590737343
1,1,25-75,75-25,0.08845334500074387
2,1,25-75,75-25,0.1729276329278946
3,1,25-75,75-25,-0.023811258375644684
4,1,25-75,75-25,-0.06651655584573746
5,1,25-75,75-25,0.020703518763184547
6,1,25-75,75-25,0.0006287504802457988
7,1,25-75,75-25,0.012869869358837605
8,1,25-75,75-25,-0.07053863257169724
9,1,25-75,75-25,0.01325191929936409
10,1,25-75,75-25,-0.03228486701846123
1,1,0-100,100-0,0.5238352417945862
2,1,0-100,100-0,0.5032584071159363
3,1,0-100,100-0,0.44987958669662476
4,1,0-100,100-0,0.3919163644313812
5,1,0-100,100-0,0.5633490085601807
6,1,0-100,100-0,0.746411919593811
7,1,0-100,100-0,0.4328635036945343
8,1,0-100,100-0,0.577926754951477
9,1,0-100,100-0,0.43488597869873047
10,1,0-100,100-0,0.6754208207130432
