fold,run,ratio_A,ratio_B,dipdi
1,1,100-0,0-100,0.5136877298355103
2,1,100-0,0-100,1.0042356252670288
3,1,100-0,0-100,0.9282822608947754
4,1,100-0,0-100,1.1367729902267456
5,1,100-0,0-100,0.8374055027961731
6,1,100-0,0-100,0.6894831657409668
7,1,100-0,0-100,0.8878641128540039
8,1,100-0,0-100,0.7785993218421936
9,1,100-0,0-100,1.0268305540084839
10,1,100-0,0-100,1.379844069480896
1,1,75-25,25-75,0.08356089144945145
2,1,75-25,25-75,0.05793501064181328
3,1,75-25,25-75,0.11109144240617752
4,1,75-25,25-75,0.18160419166088104
5,1,75-25,25-75,0.08562822639942169
6,1,75-25,25-75,0.17162536084651947
7,1,75-25,25-75,0.25258979201316833
8,1,75-25,25-75,0.045777879655361176
9,1,75-25,25-75,0.1379585713148117
10,1,75-25,25-75,0.13606281578540802
1,1,50-50,50-50,-0.037455495446920395
2,1,50-50,50-50,0.12763077020645142
3,1,50-50,50-50,-0.03915906324982643
4,1,50-50,50-50,-0.014455163851380348
5,1,50-50,50-50,0.039576634764671326
6,1,50-50,50-50,-0.1143626943230629
7,1,50-50,50-50,-0.04416272044181824
8,1,50-50,50-50,0.09505820274353027
9,1,50-50,50-50,0.0677812397480011
10,1,50-50,50-50,0.019559485837817192
1,1,25-75,75-25,0.018739093095064163
2,1,25-75,75-25,0.11852037906646729
3,1,25-75,75-25,0.11169493198394775
4,1,25-75,75-25,0.10486884415149689
5,1,25-75,75-25,0.08909256756305695
6,1,25-75,75-25,-0.026820827275514603
7,1,25-75,75-25,0.05792184919118881
8,1,25-75,75-25,0.13641057908535004
9,1,25-75,75-25,0.08351735770702362
10,1,25-75,75-25,0.1032421663403511
1,1,0-100,100-0,0.7661213874816895
2,1,0-100,100-0,0.986881673336029
3,1,0-100,100-0,1.2604035139083862
4,1,0-100,100-0,0.8174593448638916
5,1,0-100,100-0,0.9937252998352051
6,1,0-100,100-0,0.8044503331184387
7,1,0-100,100-0,0.7943334579467773
8,1,0-100,100-0,0.7764638662338257
9,1,0-100,100-0,0.8801619410514832
10,1,0-100,100-0,0.7494218945503235
