fold,run,ratio_A,ratio_B,dipdi
1,1,100-0,0-100,0.8100103139877319
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,6,100-0,0-100,0.061319440603256226
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,6,100-0,0-100,0.061319440603256226
1,7,100-0,0-100,0.9195096492767334
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,6,100-0,0-100,0.061319440603256226
1,7,100-0,0-100,0.9195096492767334
1,8,100-0,0-100,0.736341655254364
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,6,100-0,0-100,0.061319440603256226
1,7,100-0,0-100,0.9195096492767334
1,8,100-0,0-100,0.736341655254364
1,9,100-0,0-100,0.9323291778564453
1,1,100-0,0-100,0.8100103139877319
1,2,100-0,0-100,0.4693583846092224
1,3,100-0,0-100,0.4668465554714203
1,4,100-0,0-100,0.6888594031333923
1,5,100-0,0-100,0.9309762716293335
1,6,100-0,0-100,0.061319440603256226
1,7,100-0,0-100,0.9195096492767334
1,8,100-0,0-100,0.736341655254364
1,9,100-0,0-100,0.9323291778564453
1,10,100-0,0-100,0.5228928327560425
